time,ls_ratio_overall,price,L_ratio
1674182404781,0.6181229773462784,21124.1,0.38200000000000006
1674182409028,0.6025641025641026,21119.9,0.37600000000000006
1674182414127,0.6023073225444641,21119.3,0.3759
1674182419307,0.597444089456869,21116.3,0.374
1674182424327,0.5936254980079682,21115.1,0.37250000000000005
1674182454446,0.5992323684631377,21116.3,0.37470000000000003
1674182458841,0.5997440409534475,21115.0,0.37489999999999996
1674182464351,0.8925056775170325,21114.6,0.47159999999999996
1674182469392,0.886080724254998,21113.2,0.46979999999999994
1674182474796,0.8747656542932132,21113.9,0.46659999999999996
1674182479055,0.8744142455482661,21116.5,0.4665
1674182484326,0.8733608092918695,21116.4,0.4662
1674182488814,0.8814675446848542,21113.0,0.46849999999999997
1674182514427,0.7686593562079944,21107.7,0.43460000000000004
1674182519716,0.7765144785930006,21110.1,0.43710000000000004
1674182525030,0.7652250661959399,21110.0,0.43349999999999994
1674182529171,0.9316206297083252,21117.0,0.48229999999999995
1674182534672,0.9334880123743232,21114.6,0.4828
1674182539765,0.9168104274487252,21110.8,0.47829999999999995
1674182544287,0.9018638265500192,21108.1,0.47420000000000007
1674182549380,0.8946570670708601,21107.7,0.4722
1674182579068,0.91131498470948,21111.6,0.47679999999999995
1674182584303,0.7705382436260624,21110.3,0.43520000000000003
1674182589478,0.7580872011251757,21108.7,0.4311999999999999
1674182594689,0.7424638438752396,21105.6,0.4261
1674182599029,0.7289073305670815,21105.0,0.4216
1674182604503,0.7173278378842523,21103.8,0.41770000000000007
1674182609622,0.7088174982911825,21102.5,0.4148
1674182638971,0.7403411068569441,21108.8,0.42540000000000006
1674182644384,0.737921445950643,21109.4,0.4246
1674182649424,0.7403411068569441,21108.4,0.42540000000000006
1674182654628,0.7476406850751486,21103.7,0.42779999999999996
1674182659908,0.7513134851138353,21102.4,0.42899999999999994
1674182664159,0.7479461632581716,21102.0,0.4279
1674182669336,0.7680339462517679,21103.5,0.43439999999999995
1674182698934,0.7229496898690558,21098.6,0.4196
1674182704115,0.7642907551164432,21099.7,0.43320000000000003
1674182709618,0.7525411847178408,21097.9,0.42939999999999995
1674182714800,0.750393838613688,21098.1,0.42869999999999997
1674182720019,0.7439832577607254,21097.1,0.4266
